"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"Scotland","Male",49,"45-49",2019,128,"US",51.734375,48.509296875,51.7126581206806,47.644364594638,0.843857662067864
"Scotland","Male",54,"50-54",2019,116,"US",50.1406896551724,49.4088793103448,50.4162321081216,50.3253817702563,0.849886439433007
"Scotland","Male",59,"55-59",2019,132,"US",49.1228787878788,49.1262121212121,48.0366449724432,48.6286222844365,0.806807228683705
"Scotland","Male",64,"60-64",2019,112,"US",47.7024107142857,51.6536607142857,47.2928888785929,51.7557232028215,0.824958129975194
"Scotland","Male",69,"65-69",2019,100,"US",45.0531,51.346,44.161659204409,51.0754201452417,0.784817345590133
"Scotland","Male",74,"70-74",2019,106,"US",44.4148113207547,53.5938679245283,44.0650818759117,53.34251823452,0.802851900966734
"Scotland","Male",79,"75-79",2019,66,"US",45.0440909090909,53.1612121212121,44.8268108233772,54.1531199288198,0.817342523816325
"Scotland","Male",84,"80-84",2019,44,"US",43.2961363636364,49.2204545454545,43.595586734131,48.4294889064771,0.75439336062499
"Scotland","Male",85,"85_plus",2019,18,"US",39.9927777777778,52.9877777777778,40.5442421352012,52.6762145520601,0.7593111470343
"South East","Female",20,"under_20",2019,103,"US",55.5861165048544,40.9853398058252,55.7455911775931,39.0115572549604,0.820734333335012
"South East","Female",24,"20-24",2019,128,"US",54.906015625,40.799453125,55.3853927862536,42.0910666374519,0.846280659988759
"South East","Female",29,"25-29",2019,136,"US",54.0165441176471,41.4229411764706,53.9369655801165,40.2612895112362,0.804704198050606
